     0 , 76239552.00
     1 ,    -536.19
     2 ,     137.82
     3 ,     176.84
     4 ,     675.08
     5 ,    1216.93
     6 ,   -1498.39
     7 ,     894.24
     8 ,    2539.97
     9 ,    1484.92
    10 ,   -2507.87
    11 ,   -3577.08
    12 ,     -29.71
    13 ,     773.51
    14 ,    3748.64
    15 ,  523756.00
    16 ,   -1005.36
    17 ,   -1441.66
    18 ,   -1138.31
    19 ,   -1874.70
    20 ,    3003.51
    21 ,    -569.20
    22 ,   -1065.38
    23 ,   -1165.93
    24 ,    -481.41
    25 ,   -3455.39
    26 ,     247.52
    27 ,   -1486.56
    28 ,    -312.51
    29 ,   -1999.85
    30 ,     519.19
    31 ,    1289.22
    32 ,   -1872.94
    33 ,    -195.01
    34 ,    1004.27
    35 ,   -1200.45
    36 ,    1175.92
    37 ,    2242.06
    38 ,    2691.76
    39 ,    -589.90
    40 ,   -2534.26
    41 ,    1998.32
    42 ,    -676.91
    43 ,   -1061.32
    44 ,    1145.02
    45 ,     724.78
    46 ,     564.93
    47 ,     898.95
    48 ,     -97.81
    49 ,    2489.34
    50 ,    1823.02
    51 ,    2717.11
    52 ,   -1122.09
    53 ,    2826.53
    54 ,   -1803.29
    55 ,  527289.88
    56 ,   -1964.45
    57 ,    -161.77
    58 ,    -226.82
    59 ,    2186.16
    60 ,     338.96
    61 ,     371.85
    62 ,    1668.89
    63 ,   -1454.64
    64 ,   -1793.89
    65 ,    2365.29
    66 ,   -4431.44
    67 ,   -2779.05
    68 ,    3087.46
    69 ,    1462.46
    70 ,     544.77
    71 ,    1130.75
    72 ,     205.52
    73 ,   -1488.50
    74 ,   -1270.49
    75 ,   -1449.12
    76 ,    1800.35
    77 ,   -1456.69
    78 ,    2955.73
    79 ,    2825.33
    80 ,    1506.02
    81 ,    1169.11
    82 ,     541.46
    83 ,    1309.90
    84 ,     287.90
    85 ,    -303.37
    86 ,   -1009.36
    87 ,     798.54
    88 ,    2057.54
    89 ,    1929.58
    90 ,    -271.98
    91 ,   -1378.14
    92 ,    -263.40
    93 ,   -1065.75
    94 ,    1053.09
    95 ,   -3344.41
    96 ,    -744.23
    97 ,   -1571.63
    98 ,    -167.89
    99 ,   -1031.41
